"Timestamp","Username","Name of your club","Club Sponsor Teacher","What is the purpose of your club?","What are some activities that take place during a typical meeting?","What best describes the role of your club?","Meeting Day","Meeting Time","Meeting Location","Please upload a photo for the front page of the website","Please upload any additional photos.","","","","",""
"2022/09/05 4:16:34 pm GMT-7","fhsscodingclub@gmail.com","Coding Club","Mr. Hasan","The purpose of this club is to allow both beginner and experienced programmers to get together once a week to share ideas and learn. The main focus of the club is to teach beginners how to code, but there will also be more advanced teachings offered to people that already have some coding knowledge. Some examples would be: tutoring for AP Computer Science A, as well as setting teams up for Hackathons.","Members of the club get together at lunchtime each Tuesday at the designated meeting room. Some executives will be in charge of teaching general lessons for everyone, while others may be helping with more advanced topics, or helping newcomers that are new to the club.","Academic: Your club acts to help students on their academic journey.","Tuesday","Lunchtime","","","","link","","tag","code","A programming environment welcoming people of all skill levels."
"2022/10/21 1:03:18 pm GMT-7","","LEO Club","Marie Currie","Service based club which helps out in the school and the community at large. Work actively with Lion's Club of Canada outside of school and on projects within the school.","At meetings, we discuss upcoming events, fundraisers and ways to get involved.  Students also meet to help each other with a variety of activities from resume building, to interview skills to mentorship.  Also have guests come and talk to the group at large on opportunities for community service or ways to support different causes.","Humanitarian","Tuesday;Every other Tuesday","Lunchtime;Sometimes after school for special events","Room 216 (Ms. Parker-Jervis' classroom)","https://drive.google.com/u/0/open?usp=forms_web&id=1PtxdrzTqdOBIhbcoKsUY2xTkkfoQ3Vvv","https://drive.google.com/u/0/open?usp=forms_web&id=1nhT9Or4r4bMKg1HwcN7B91axTybcTm-u","","","","",""
"2022/10/21 3:43:48 pm GMT-7","","BC Children's Hospital Club ","Ms. Gonsales ","At BC Children’s Hospital Club we contribute our fullest abilities to create inspiring and creative fundraising events. Our initiatives connect and inform students about raising awareness and donations for the children and families in need. Students also come together to practice leadership skills and responsibilities, while expanding their personal interests and passion.","Class brainstorming sessions, separate executive meetings, club games and activities, poster painting and etc.","Fundraising and social club","Wednesday","Lunchtime","Room D104","https://drive.google.com/u/0/open?usp=forms_web&id=11NBuWKnQB_J2rtvzn_wYtWmXv3U0N2n5","https://drive.google.com/u/0/open?usp=forms_web&id=18_3ynZC0kcFkmyjAcGh8mYWsAhBUgGkU;https://drive.google.com/u/0/open?usp=forms_web&id=168GM7kWaJDZyOFWWOGj5fmXBnHjWS-4_;https://drive.google.com/u/0/open?usp=forms_web&id=1dJr4nM-LJ2mW0LZsFpANbsc3EKqxoRgO;https://drive.google.com/u/0/open?usp=forms_web&id=1DijZnw9xccT3f_44JUofX3EBWT2bjtk7;https://drive.google.com/u/0/open?usp=forms_web&id=1ooEr20OjkjxcYuIEUA7A4o-YCEolBQQ-;https://drive.google.com/u/0/open?usp=forms_web&id=1zywobIuHejpjtwl87Gem1LVpp79wtI_Q;https://drive.google.com/u/0/open?usp=forms_web&id=1Bx7EOSGx0SR4oeY2IRpvtuiH3WbDlugw;https://drive.google.com/u/0/open?usp=forms_web&id=1p31mYHP-Ofb-wmAvMsCfm789aBo2H6Oh;https://drive.google.com/u/0/open?usp=forms_web&id=1BkYgJYeujHo91YgP9PUjDoCA__Ne4W5V;https://drive.google.com/u/0/open?usp=forms_web&id=13yycnsSGPn1jYju-K6L93ySD9r66LnHU","","","","",""
"2022/10/22 10:32:57 am GMT-7","","Reach for the Top","Mr. Hasan","To create and prepare teams to participate in the Reach for the Top trivia competition.","Practice trivia games, coaching.","Academic","Friday","Lunchtime","Room 103","https://drive.google.com/u/0/open?usp=forms_web&id=1XluFCR0XMXah7YYbviirXYDtJKrXGok6","","","","","",""
"2022/10/22 11:02:27 am GMT-7","","Cultural diversity club ","Ms.kambo","To celebrate the diversity of cultures at FH to instill positive personal & cultural identity ","Planning for acknowledging global holidays and activities at FH ","Humanitarian","Wednesday;Every other Wednesday ","Lunchtime","D 201","https://drive.google.com/u/0/open?usp=forms_web&id=18S9bZGtHUU38lGFdzl33oi-mjV8n4Hgg","","","","","",""
"2022/10/22 11:05:40 am GMT-7","","FH Helping Hands  ","Ms. Kambo ","Volunteering in the school & community ","Planning for our Weekly litter pickups afterschool Thursday, bases buddies, and helping senior citizens ","Humanitarian","Wednesday","Lunchtime;Every other Wednesday ","D201","https://drive.google.com/u/0/open?usp=forms_web&id=18MsT7eJE9sn12MaeGzWo-VYlVbl3-rXp","","","","","",""
"2022/10/22 11:07:31 am GMT-7","","FH Pride club GSA ","Ms. Kambo","To provide a space for LGBTQ community and allies to plan and discuss inclusivity ","Plan for pride events and important days ","Humanitarian","Monday;Every other Monday ","Lunchtime","D 201","https://drive.google.com/u/0/open?usp=forms_web&id=10bPO9EKOuI9XSvZje16Zvc7S5uEc-3d-","","","","","",""
"2022/10/23 4:42:19 pm GMT-7","","Hawk Word","Mr. Kelly","To represent the Fraser Heights creative community in monthly newspaper issues, giving students the opportunity to share their voices and keep informed on things going on around the community. ","Brainstorming ideas, assigning editors/layout artists, discussing suggestions, etc. ","School newspaper","Friday","Lunchtime","Room 217","https://drive.google.com/u/0/open?usp=forms_web&id=12eL4OfIQ30l3PiQfTSwTta4HWZ4e_KAQ","https://drive.google.com/u/0/open?usp=forms_web&id=1XSuUREFoKZbv57Ga8qV8buDoO9OOJlwO","","","","",""
"2022/10/23 4:51:09 pm GMT-7","","Esports Club","Mr. Ho","To build a community of gamers that can be free and have a comfortable place to be in.","Socializing, watching gaming events, playing video games","Social","Friday","After School","Room 204","https://drive.google.com/u/0/open?usp=forms_web&id=1mPm58VKZ7bBGNEPJP_wRRchhBIt5YBNF","","","","","",""
"2022/10/24 10:48:47 am GMT-7","","International Ambassadors Club","Mr. Clarke & Ms. Muni-Xiao","The International Ambassador Club is dedicated to promoting cultural understanding and equality amongst our large International Student population at Fraser Heights Secondary. The International Ambassador’s hold monthly meetings and accept all students in its membership. The Ambassador’s work with new and returning International Students to develop community and a sense of belonging in our school and in the community at large. The International Ambassador Club is an avenue to foster strong relationships with peers and staff and share in cultural celebrations. ","Create a space for belonging and connectedness amongst students (ELL and International) Host new student orientations. Create resources, events and opportunities to support new Fraser Heights Firehawks (such as YouTube videos that help new students in their first language to sign up for lockers, access MyEd, download the app, etc.). Host International Lunches, cultural events and holidays. ","Social","Monday","Lunchtime","209","","","","","","",""
